RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
102001,0,United States,Country,"",13106.9871,13521.1971,13785.1816,13706.2551,13263.0358,12631.1446,12400.0477,12377.683,12321.2041,11916.5908,11856.7905,12080.9557,12604.8312,12999.0384,13342.1517,13414.7735,13079.3156,12533.6965,12329.9779,12137.4908,11958.1191,11330.8707,11360.9734,12428.7815,13223.0015,12876.103,12027.6689,12135.6708,13293.2663,14175.8242,14901.7361,15148.7375,15085.2362,14599.0355,14783.6451,15773.4266,17483.6411,19433.9588,21003.8028,21657.5581,20856.5131
394913,1,"New York, NY",Msa,NY,34690.8631,35566.4142,35637.8711,33482.9591,30916.0348,27817.0525,28308.9299,28717.9658,30043.8376,28850.7834,29465.8784,29326.3461,30153.5134,30331.3591,30422.8967,29853.0126,28060.9819,26157.0304,27037.27,27911.6324,29265.0518,27756.3733,27970.364,29409.4335,30054.0025,28212.8274,26065.7787,25898.2605,27975.6511,29784.8995,32715.7409,33974.5296,35072.2532,34058.2555,34408.9893,36365.1672,38275.8435,40496.6591,40670.8822,39869.9083,37088.4134
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,38126.9206,37297.5296,37641.6796,36636.668,34821.289,32186.5676,30841.2979,30619.1934,31004.8947,30272.7882,30082.0999,30256.5691,31768.8505,32541.1416,33927.8918,34265.8082,34528.7234,33832.7715,34034.803,34351.1943,35606.1007,34440.4708,35554.2999,40064.1484,43863.8291,41202.276,35552.5707,34352.8727,38555.7908,43514.9601,45961.7272,45802.107,44984.183,43909.6741,46488.972,48473.2696,54058.3332,57890.9328,61513.257,61944.0974,60135.4218
394463,3,"Chicago, IL",Msa,IL,11288.0841,12082.9607,12321.8031,12200.3315,11572.8435,10764.0162,10372.9003,10119.7447,9801.3729,9132.466,9326.3611,9861.2893,10706.694,11155.9104,11659.1022,11794.5469,11339.0447,10478.9326,10157.9349,9936.8319,9681.8091,8864.3853,8755.3369,9826.1382,10754.5102,10756.508,9976.1564,10130.5368,10909.1476,11473.8306,11565.1412,11241.8965,10645.4726,10065.0284,10186.9949,11144.1874,12639.766,14011.7099,14997.6101,15125.9016,14467.1149
394514,4,"Dallas-Fort Worth, TX",Msa,TX,11348.3195,11709.9662,11803.1789,11333.7169,10577.0671,9521.3221,9205.9568,9200.4602,9373.0171,9139.1677,8876.8646,9068.5004,9591.636,10178.0855,10281.0333,10024.7498,9491.4889,9190.3116,9134.1651,9115.6875,8954.3268,8496.9482,8326.7383,8581.3289,9153.6533,8990.8771,8783.8254,8928.0474,9673.9274,10066.3706,10290.3553,10891.6938,11166.425,11408.8709,11401.203,12186.0,13407.0576,14944.0878,16692.6831,17469.8674,16791.9758
394974,5,"Philadelphia, PA",Msa,PA,10431.1708,10595.6527,11304.6748,11840.246,11953.5744,11129.916,10851.9209,10939.9127,10900.6379,10460.7824,10178.4666,10155.5647,10337.3867,10867.6495,11638.245,11989.5845,11596.3394,11004.9673,10828.8232,10950.7784,10842.1487,10241.9789,10322.9132,11612.4982,12394.0762,12368.6418,11157.9423,11358.2956,12156.2634,13041.7034,13481.5769,13332.8081,13180.1058,12993.7146,12867.9245,12996.9547,13150.1434,14143.0599,15303.0346,15998.0431,15587.1904
394692,6,"Houston, TX",Msa,TX,12951.9029,12995.7075,12980.7122,12694.4302,12195.5054,11645.8381,11622.381,11590.4793,11730.2992,11319.9005,11425.6813,11423.2177,11626.346,11901.1541,11953.1194,11899.7364,11127.6696,10643.5499,10152.5986,9958.0363,10010.5019,9857.2619,9888.4362,10538.532,11116.3785,11416.5979,10860.9277,11046.3928,11327.1977,11483.7458,11616.693,11944.7471,12189.2373,12122.4246,12067.284,12275.0673,13151.7738,14206.38,15846.2791,16775.3216,16419.124
395209,7,"Washington, DC",Msa,DC,16641.4957,16454.822,16651.6129,16292.3414,15587.7435,14371.9668,14157.2588,14431.9965,15001.6729,14826.5867,14887.7704,15388.437,16318.8231,16979.1825,17106.2743,16606.3597,15823.9953,14784.3734,14771.9151,15266.227,15618.3567,15340.8132,15990.6172,18122.6842,19446.7948,18614.058,16792.6498,16780.8572,18355.3736,19770.7084,19975.6378,18687.3909,17390.1379,16341.1681,17408.854,18603.9413,19733.822,21092.7914,21701.2887,22102.6111,20278.2336
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,22057.1686,21532.4392,21250.8251,20357.9147,18955.658,17605.5619,17044.9313,17495.4718,18246.9886,19274.5632,20044.9118,20611.2973,20208.9552,19680.5533,19112.1589,18507.0009,18126.5363,17323.7825,17712.3874,17755.1517,18979.1966,19732.3141,20984.7617,22843.6222,23225.9111,21695.4169,19545.8325,18639.611,18983.1439,19227.1281,19328.5044,19725.2111,19258.7445,19612.5642,21196.1558,21688.4465,22586.531,22545.6033,24542.9871,26076.526,26331.9187
394347,9,"Atlanta, GA",Msa,GA,11701.3908,11827.3221,12097.9209,11786.0701,11296.5201,10672.8245,10108.165,9915.7285,9541.1631,9025.0522,8733.7187,8898.754,9274.3938,9535.0847,9733.8372,9781.3284,9768.8653,9460.9601,9180.877,8795.6415,8348.719,8027.9505,8034.7426,8925.3671,9748.7303,9969.2906,9723.0786,9727.203,10391.2975,10710.8027,11084.0562,11263.4352,11843.3455,11700.4624,12042.6035,12613.0333,14152.2975,15465.5562,16773.9833,17785.5653,17611.1613
394404,10,"Boston, MA",Msa,MA,22713.3308,25018.9858,26844.1274,25838.1647,23730.6573,20888.588,20029.7899,20040.7544,19635.3789,18466.1791,18290.2544,19093.0846,21294.3584,23449.2821,25368.8766,25794.7902,24315.16,22225.8158,21664.4787,21768.7528,21748.8792,19893.8146,19676.7529,21958.0206,23953.5039,23894.7777,23135.051,24520.2195,26708.0636,27586.4565,28003.035,27594.6869,27152.2628,25143.0312,26011.4798,26837.292,31129.0312,33442.2871,36135.3784,36024.1767,35202.6627
395057,11,"San Francisco, CA",Msa,CA,44143.0841,49915.1124,52605.9893,52475.6532,47985.1275,41047.0918,36073.8143,35517.3176,35653.135,33175.0066,30339.8934,29150.4936,31453.0433,33320.473,36335.5056,36713.2813,35476.9456,32412.2274,32666.9879,34143.7321,35252.4659,31792.803,30520.0937,33707.1635,40043.3096,39713.5525,38389.2939,38402.5062,44134.3885,46629.6815,49536.409,50890.3942,52742.4913,48319.0362,47994.6853,52881.4439,60744.6392,69710.9512,72426.8017,75070.8893,67394.8487
394532,12,"Detroit, MI",Msa,MI,10039.1002,10618.02,11456.2182,11748.8485,11872.6506,11138.4501,10442.0013,9628.7372,9089.3585,8544.4076,8427.4798,8564.695,9266.0773,9927.7196,10713.8086,11116.0945,11024.5092,10474.1249,9884.1984,9463.6081,8990.3703,8373.2475,8071.3068,8474.5354,8965.475,9595.299,9902.4546,10591.582,11112.1613,11669.0388,11648.2154,11412.661,10899.948,10688.5112,10844.056,11956.7448,13281.6235,15327.9075,16090.6764,16791.0594,16187.3683
395025,13,"Riverside, CA",Msa,CA,14904.8435,14663.3479,13748.8027,12739.5005,11747.2663,11438.115,11217.4015,11050.6013,11118.0341,11595.145,12267.5729,12969.2856,13376.9914,13131.4556,12869.5914,12240.8674,11885.9127,11445.2888,11145.0106,10979.3856,10886.8752,11186.3607,12017.1747,13772.8391,15010.3432,15057.7576,13821.9044,13423.1104,14028.2874,15308.8241,16248.8843,17289.912,18007.8115,18565.0088,19835.4819,21273.8434,24662.8591,26217.3263,28897.7833,27448.521,26022.8906
