RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
102001,0,United States,Country,"",0.1177,0.122,0.1341,0.1451,0.1581,0.1678,0.1738,0.1774,0.1665,0.1419,0.1303,0.1252,0.1382,0.1392,0.1505,0.1607,0.1701,0.1737,0.1776,0.1774,0.1648,0.1379,0.1238,0.1182,0.1236,0.1125,0.1124,0.1153,0.1235,0.1254,0.1248,0.1249,0.1212,0.1085,0.0961,0.0813,0.0777,0.0726,0.0766,0.0863,0.1035
394913,1,"New York, NY",Msa,NY,0.1003,0.1086,0.1246,0.1397,0.1497,0.1507,0.1564,0.1577,0.152,0.1241,0.1123,0.1081,0.1261,0.1322,0.1496,0.163,0.169,0.1605,0.1593,0.1589,0.1505,0.118,0.1035,0.1001,0.1039,0.081,0.0712,0.0759,0.1004,0.1142,0.1235,0.1259,0.122,0.1039,"","","","","","",""
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,0.1237,0.1302,0.1473,0.162,0.1805,0.1978,0.2125,0.2224,0.2101,0.1746,0.1576,0.1476,0.1631,0.161,0.1709,0.1811,0.1908,0.1954,0.1955,0.189,0.1689,0.1336,0.1122,0.1008,0.1074,0.1045,0.1124,0.1216,0.1301,0.1318,0.1296,0.1305,0.1247,0.111,0.0973,0.0856,0.0849,0.0808,0.0805,0.0827,0.0927
394463,3,"Chicago, IL",Msa,IL,0.1623,0.178,0.2061,0.2307,0.2498,0.2579,0.2665,0.2642,0.2397,0.189,0.1603,0.1553,0.1809,0.1977,0.2264,0.251,0.2702,0.2746,0.2811,0.2749,0.2454,0.1925,0.166,0.165,0.1794,0.1686,0.1696,0.1791,0.2016,0.2141,0.2221,0.2203,0.2055,0.1694,0.1401,0.1181,0.1196,0.1196,0.1289,0.1461,0.1713
394514,4,"Dallas-Fort Worth, TX",Msa,TX,0.1459,0.1494,0.1711,0.1936,0.2215,0.2402,0.2443,0.2453,0.2275,0.1979,0.1779,0.1682,0.1811,0.1834,0.1997,0.2153,0.2335,0.2437,0.2508,0.2467,0.2284,0.194,0.1764,0.1668,0.1716,0.1612,0.1616,0.1652,0.1692,0.1685,0.1588,0.1482,0.1316,0.1129,"","","","","","",""
394974,5,"Philadelphia, PA",Msa,PA,0.1407,0.1394,0.1543,0.1722,0.1922,0.1971,0.2022,0.2104,0.2058,0.178,0.1602,0.1508,0.1625,0.1663,0.1817,0.1951,0.1943,0.1879,0.1925,0.2019,0.198,0.1656,0.1465,0.1376,0.1386,0.1128,0.1035,0.1117,0.1351,0.1438,0.1482,0.1537,0.1597,0.1448,0.131,0.1092,0.1072,0.1023,0.112,0.1241,0.1427
394692,6,"Houston, TX",Msa,TX,0.1545,0.1629,0.1837,0.2034,0.2221,0.2339,0.2348,0.2313,0.2105,0.1772,0.1605,0.1593,0.1787,0.183,0.1979,0.2153,0.2338,0.2408,0.2427,0.2372,0.219,0.1878,0.1736,0.1686,0.1789,0.167,0.1663,0.1687,0.1784,0.1825,0.1802,0.1712,0.1597,0.1411,"","","","","","",""
395209,7,"Washington, DC",Msa,DC,0.1092,0.1135,0.1348,0.161,0.1884,0.2032,0.2114,0.2204,0.2046,0.1727,0.1427,0.1277,0.1313,0.1351,0.1545,0.1733,0.1839,0.186,0.1897,0.1952,0.1855,0.1552,0.1279,0.1101,0.1123,0.1132,0.1204,0.1236,0.124,0.1225,0.1277,0.1346,0.1393,0.1271,0.112,0.0939,0.0885,0.0863,0.0956,0.1123,0.135
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,0.1534,0.1529,0.152,0.1478,0.1448,0.1454,0.1463,0.1536,0.1555,0.1477,0.1532,0.1586,0.1739,0.1669,0.162,0.1539,0.1466,0.1386,0.138,0.1419,0.1432,0.1332,0.1354,0.1396,0.1434,0.1194,0.1065,0.1031,0.112,0.115,0.1129,0.1122,0.1081,0.102,0.0976,0.0933,0.0921,0.0837,0.0784,0.0768,0.0856
394347,9,"Atlanta, GA",Msa,GA,0.1248,0.1302,0.1483,0.1628,0.1781,0.1867,0.1928,0.1993,0.19,0.168,0.1574,0.1475,0.1602,0.1628,0.1827,0.1944,0.2019,0.2034,0.208,0.2106,0.1993,0.1725,0.1552,0.1427,0.1429,0.1349,0.1409,0.1448,0.1468,0.141,0.1367,0.1313,0.1252,0.1077,0.0969,0.084,0.0836,0.0801,0.0846,0.0927,0.1101
